Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ADFA/construction/fromList,0.27443638692891303,0.26917069247611963,0.2785589303228855,6.2179355247917265e-3,4.151633946790019e-3,7.299050285691016e-3
ADFA/construction/fromAscList,0.1938837984137991,0.18998313385871285,0.19611940994095944,4.092926979117884e-3,1.7698814751988963e-3,6.122474316221462e-3
ADFA/query/isEmpty,6.514887016889567e-7,6.269550023177092e-7,6.694844890676079e-7,6.123860875976995e-8,5.218479543815372e-8,7.335904926782318e-8
ADFA/query/stringCount,1.218421646491422e-2,1.1624300327041662e-2,1.2567618443022042e-2,1.1341250382262988e-3,7.405615454274179e-4,1.5593815207180835e-3
ADFA/query/enumerate10,2.944373340416104e-6,2.8296234537652196e-6,3.031606693811329e-6,2.886489023744045e-7,2.25127649416731e-7,3.6252941983504787e-7
ADFA/query/match,1.908470011823587e-4,1.8321354642254368e-4,1.9720275360619665e-4,1.845534101640205e-5,1.5823588966239884e-5,2.095730301597615e-5
ADFA/query/eqv1,0.2021906778852433,0.19880236167022738,0.20536551867483097,4.243770781136615e-3,2.948055498904214e-3,5.503697963508597e-3
ADFA/query/eqv2,7.105905304155294e-2,6.960121877978387e-2,7.26731286918897e-2,2.665692959341641e-3,1.6086268320928837e-3,3.4878153776659354e-3
ADFA/optimize/minify,0.7609216746939752,0.7373939221824651,0.7743374500026379,2.0969627750895455e-2,1.3530843112619095e-16,2.3236804457531783e-2
ADFA/optimize/topSort,0.2015253216481901,0.19868983786586406,0.20345046418492818,3.018011555646319e-3,1.5384585445581411e-3,4.171802195777292e-3
ADFA/optimize/prune,7.276496427374884e-2,7.160781633167371e-2,7.365664110995124e-2,1.5202406282887324e-3,9.736127038697125e-4,2.3210175633482963e-3
ADFA/combine/union,0.1166226967041958,0.11380613117868423,0.12025532906264258,4.46826724909858e-3,3.5057433956368865e-3,5.99128410413401e-3
ADFA/combine/intersection,9.401093796392256e-2,9.212848431275537e-2,9.685600805592083e-2,3.844143015238112e-3,2.107645044425714e-3,5.6661977261851584e-3
ADFA/combine/difference,0.11088313966066454,0.10723572898063759,0.11429318970551017,5.215136718341872e-3,3.3528767649420223e-3,7.96949927189401e-3
ADFA/combine/append,2.59281691607472e-2,2.4552064552666543e-2,2.704769950626161e-2,2.9096423115323473e-3,1.8117164368471146e-3,3.984144029076607e-3
ADFA/combine/prefixes,3.419746667657568e-2,3.258375903130227e-2,3.497163601110883e-2,2.2027110122291513e-3,8.623275296252108e-4,4.026526823104063e-3
ADFA/combine/suffixes,0.6357411534869156,0.615133132092056,0.6499952001896289,2.1422954262789135e-2,0.0,2.4688733102558768e-2
Trie/construction/fromList,0.2649047222896479,0.25661336066966345,0.26807860184252996,5.794773497648796e-3,5.041095690803661e-4,7.329760856927571e-3
Trie/construction/fromAscList,7.193424677453042e-2,6.918891878608584e-2,7.408328830289118e-2,3.8673100276170294e-3,2.334804145948192e-3,5.9569765372641395e-3
Trie/query/isEmpty,8.323901783980464e-9,7.95712561894039e-9,8.73316841573801e-9,9.064264301430911e-10,6.78211967749809e-10,1.1931929480761032e-9
Trie/query/stringCount,9.688323396103354e-3,9.325158489015519e-3,9.94519536420223e-3,8.708359762044337e-4,6.492331022891888e-4,1.2050366700043817e-3
