DataSet,Name,Category,Method,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
dict,ADFA,construction,fromList,0.2746772578312084,0.26883874636609106,0.2821067287400365,8.754634484288846e-3,4.639142883214392e-3,1.2510037375156798e-2
dict,ADFA,construction,fromAscList,0.16865425714272625,0.16143797100901755,0.1769601865809373,1.0352367576551606e-2,4.274973113683729e-3,1.3016322921208403e-2
dict,ADFA,query,isEmpty,1.2396422324944079e-6,1.169329668421282e-6,1.353435098893626e-6,2.94309876763317e-7,2.1362516950836338e-7,4.7045579971821115e-7
dict,ADFA,query,stringCount,1.3086956404477091e-2,1.250002880954211e-2,1.4035509624253572e-2,1.9792535982149292e-3,1.3646100762737402e-3,2.6730397723064843e-3
dict,ADFA,query,enumerate10,1.1618895609855346e-6,1.114652121500794e-6,1.2516603459892515e-6,1.9845914562226573e-7,1.3102626547706175e-7,3.2925468390168267e-7
dict,ADFA,query,member,2.2394877747163082e-4,2.200534743841744e-4,2.3173026213335892e-4,1.7467098459815544e-5,8.788946858608903e-6,2.709845463463874e-5
dict,ADFA,query,eqv1,0.1787535142282852,0.17357536507511717,0.18476157671539115,7.907177868916681e-3,5.856064257451192e-3,1.0068925896329961e-2
dict,ADFA,query,eqv2,0.39167923801142024,0.37674351026362274,0.40164122548594605,1.4986967251167887e-2,7.115073711766406e-3,2.0873919412899018e-2
dict,ADFA,query,eqv3,7.595004363334276e-2,7.153350025738796e-2,7.985220652773499e-2,6.874809762472486e-3,4.845904499048563e-3,9.730415440964021e-3
dict,ADFA,optimize,minify,0.6507770303602834,0.5845083341919235,0.7096944957083906,6.865349282864643e-2,3.4377489685236184e-2,9.6368352067131e-2
dict,ADFA,optimize,topSort,0.18616158551497697,0.18034407664995847,0.19252299412683996,8.509008641611809e-3,6.0145331870329905e-3,1.0515858991485482e-2
dict,ADFA,optimize,topSort',4.581880613588256e-2,4.418799604752941e-2,4.785183610488724e-2,3.563826325901044e-3,2.9634285778508142e-3,4.825263543410041e-3
dict,ADFA,optimize,prune,0.2003397723042225,0.17982010878202145,0.2092035458073951,1.6606836473479485e-2,5.7948264491655445e-3,2.4068407552906124e-2
dict,ADFA,optimize,prune',3.761927992961509e-2,3.5623705179852534e-2,4.0486833965953074e-2,5.067031554344609e-3,3.246021068285933e-3,8.295419811236009e-3
dict,ADFA,combine,union,0.10948924440847947,0.10558601900228572,0.1131601666724798,5.967417438392926e-3,4.1625377386333645e-3,8.693833668601795e-3
dict,ADFA,combine,intersection,0.10520492128105349,0.10305305004542417,0.10842408927022422,4.271453905745268e-3,3.556759208006452e-3,5.356018942966881e-3
dict,ADFA,combine,difference,0.11562111451099294,0.11224457399532964,0.11977151703000086,6.145839188105385e-3,3.8121422097271694e-3,8.588919323760573e-3
dict,ADFA,combine,symdiff,0.10771060258938932,0.10553958064601782,0.11186204474713783,4.4306672124773145e-3,2.134970928792921e-3,7.159471396463079e-3
dict,ADFA,combine,append,1.5334193957261776e-2,1.49197451394778e-2,1.6220488814244614e-2,1.4791371795110548e-3,8.413847256240016e-4,2.143360192955869e-3
dict,ADFA,combine,prefixes,2.823492235555932e-3,2.622207704499436e-3,3.1375721160048406e-3,8.048984546916803e-4,5.821912575280348e-4,1.0659548308329478e-3
dict,ADFA,combine,suffixes,0.5790500643318713,0.577156996948664,0.5844856440089643,3.629106440180499e-3,9.479307239718127e-5,4.313289561858914e-3
dict,ADFA,combine,reverse,0.44757665200935054,0.4413948295114096,0.4534510420053266,6.805456957490793e-3,5.663463576046093e-3,7.297728177273442e-3
