Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
dict/ADFA/construction/fromList,0.5369938698960747,0.5148298806875573,0.5725381779599653,3.507886997715774e-2,2.9317070917994625e-4,4.453670941150867e-2
dict/ADFA/construction/fromAscList,0.2108989850758816,0.1994904511607577,0.21819644046916234,1.289978953923054e-2,6.667768555389675e-3,1.8706109813998437e-2
dict/ADFA/query/isEmpty,1.0423531649864714e-6,1.0088948001436297e-6,1.1105833884378081e-6,1.6058332635364295e-7,9.620522264223068e-8,2.814598487005734e-7
dict/ADFA/query/stringCount,1.2573559344191774e-2,1.1830832385577696e-2,1.3702879904549003e-2,2.603841296093043e-3,1.5791772534655727e-3,4.149983612350578e-3
dict/ADFA/query/enumerate10,1.1073733076756939e-6,1.0714811972200137e-6,1.2095892877874393e-6,1.882733429574024e-7,9.064331405990265e-8,3.4922859630041146e-7
dict/ADFA/query/member,1.8860297791840788e-4,1.8580342727988808e-4,1.9537403760897282e-4,1.4390446522239427e-5,3.401974649613665e-6,2.7025633710970512e-5
dict/ADFA/query/eqv1,0.2076529848439249,0.19038489017703897,0.22147032583254458,2.1352130429665026e-2,1.4073735768368255e-2,3.5929255660898315e-2
dict/ADFA/query/eqv2,0.44898988647916366,0.44092485475084686,0.45357764956133906,7.712545654362574e-3,8.548590154371276e-4,9.740125986451681e-3
dict/ADFA/query/eqv3,8.783005941344267e-2,8.131616283242432e-2,9.429855621963465e-2,1.150766412952529e-2,6.976947178496092e-3,1.5315803664152843e-2
dict/ADFA/optimize/minify,0.6208148191462897,0.603308582126374,0.6412132661880605,2.142538844160296e-2,9.153012873866828e-3,2.9859933730536675e-2
dict/ADFA/optimize/topSort,0.17706583983924953,0.1637063760568304,0.18513996895532425,1.4801660939158169e-2,4.922932797883054e-3,2.153426765356144e-2
dict/ADFA/optimize/topSort',4.498287213637447e-2,4.260560695837474e-2,4.7366174535784324e-2,4.723973573642839e-3,3.4741936060147635e-3,5.998031855726788e-3
dict/ADFA/optimize/prune,0.23139496346710883,0.20273542007877646,0.2481317617506041,3.1191540468491992e-2,1.4460424656504892e-2,4.64020883719518e-2
dict/ADFA/optimize/prune',4.3395631155992875e-2,4.017221458107913e-2,4.9088429489426176e-2,8.227151031242715e-3,5.851053615837122e-3,1.0831212605706537e-2
dict/ADFA/combine/union,0.1473204928994944,0.13766504480424505,0.16018288373764206,1.5665503941517743e-2,1.1204118245221557e-2,2.0405053111480997e-2
dict/ADFA/combine/intersection,0.141810480257009,0.1331689062869243,0.15384838932908446,1.4275101227405985e-2,6.72389535781795e-3,2.2071644579528104e-2
dict/ADFA/combine/difference,0.1515377000277787,0.14298031587674326,0.16145836534337676,1.3180801455482912e-2,7.677001495456196e-3,1.928767062819825e-2
dict/ADFA/combine/symdiff,0.1486158210309725,0.1372842517653009,0.1569161989831306,1.3330119891323195e-2,1.0271103871407401e-2,1.6289460961147535e-2
dict/ADFA/combine/append,1.5418341860834128e-2,1.4507141555838121e-2,1.6945172036965564e-2,2.856306248490497e-3,1.9251678078956145e-3,4.022888975842449e-3
dict/ADFA/combine/prefixes,2.6867787204375147e-3,2.4270354924171796e-3,3.0723186629527254e-3,1.0062784067173206e-3,8.045280259123252e-4,1.3110207453751565e-3
dict/ADFA/combine/suffixes,0.7576280712707254,0.7314407783114802,0.794319969127173,3.717343139904479e-2,9.445288082739978e-3,4.9570483323184276e-2
dict/ADFA/combine/reverse,0.5202972501036432,0.514421941186356,0.5291711497502547,8.821819845082965e-3,3.004203745149425e-4,1.1469577902332e-2
dict/ADFA/combine/reverse_manual,0.6147743199802184,0.5771504443137019,0.670617250668632,5.681006496662004e-2,1.0904558332792191e-2,7.429711959841805e-2
