Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
dict/ADFA/construction/fromList,0.29492809036023876,0.2836254685620467,0.3071746471983109,1.5845296768282276e-2,1.2120971762335416e-2,1.8976026559784552e-2
dict/ADFA/construction/fromAscList,0.12281435963876512,0.11639384689160578,0.13370034628715075,1.3880720149088121e-2,6.1241025457125274e-3,2.2439808303744268e-2
dict/ADFA/query/isEmpty,1.0986239451239517e-6,1.065118160740516e-6,1.1349657541699982e-6,1.1714890781484843e-7,9.152442817548372e-8,1.5673577917495047e-7
dict/ADFA/query/stringCount,1.3024435307992101e-2,1.2256176244513943e-2,1.4259321588704363e-2,2.5522046829739233e-3,1.4936895052379032e-3,4.067640423091914e-3
dict/ADFA/query/enumerate10,1.0991548283043657e-6,1.0739627731330921e-6,1.1297066454342736e-6,8.753585984352114e-8,7.096837358191122e-8,1.1945412183850337e-7
dict/ADFA/query/member,1.9036709618143978e-4,1.894449481161292e-4,1.9156626942423477e-4,3.7817209922636463e-6,2.8545072405604876e-6,4.821962262955158e-6
dict/ADFA/query/eqv1,0.18602459469956456,0.17250499956559603,0.19743999511677734,1.614593619115837e-2,9.473136812614412e-3,2.185363037617486e-2
dict/ADFA/query/eqv2,0.4029733582923048,0.3857921954995618,0.4326882418763489,2.857813065408692e-2,3.098294667627982e-3,3.610059333275631e-2
dict/ADFA/query/eqv3,8.184242250041338e-2,7.46464279330977e-2,8.882841546012926e-2,1.1729595495814668e-2,9.242297410133314e-3,1.5409984097238557e-2
dict/ADFA/optimize/minify,0.607100480292805,0.5940782942507212,0.6256986564985709,1.7579143139303584e-2,1.5529076803942263e-4,2.155296946168994e-2
dict/ADFA/optimize/topSort,0.17293764546880425,0.16195266642850278,0.18889905072340415,1.997663941296885e-2,1.319187413875318e-2,3.0301528286139127e-2
dict/ADFA/optimize/topSort',4.490209455288681e-2,4.227370969884283e-2,4.8066112244558e-2,6.089616369579453e-3,5.16489735215008e-3,6.986758176239792e-3
dict/ADFA/optimize/prune,0.1983215227045245,0.17083212197564232,0.20967926620210672,2.313052448518973e-2,5.853427543271561e-3,3.234197469035255e-2
dict/ADFA/optimize/prune',4.161283350681836e-2,3.8323591650914916e-2,4.593915539460306e-2,7.310360392634661e-3,4.784116831142018e-3,1.0532087241384804e-2
dict/ADFA/combine/union,0.129797930661974,0.12319646964308395,0.14390218154689396,1.484648548509764e-2,9.75590471468391e-3,1.8824202169014353e-2
dict/ADFA/combine/intersection,0.11871173609890451,0.11299728981185105,0.12538522938195587,9.359876653154438e-3,5.733503326811633e-3,1.2475149473735542e-2
dict/ADFA/combine/difference,0.13514171389691737,0.12770623608957976,0.14450507257078285,1.2342595450168834e-2,9.320696803953928e-3,1.631831731553982e-2
dict/ADFA/combine/symdiff,0.133010151131159,0.12285925303833556,0.14739810141145426,1.9124598971878726e-2,1.3045351121664625e-2,2.4129359457780906e-2
dict/ADFA/combine/append,1.321201376852798e-2,1.2419065871491915e-2,1.4665493736801928e-2,2.8302174216494813e-3,1.7703608135149383e-3,4.000422186967457e-3
dict/ADFA/combine/prefixes,2.675467818980221e-3,2.4023239295805723e-3,3.134814348522183e-3,1.0914056298605799e-3,8.416620581568924e-4,1.6214616183795906e-3
dict/ADFA/combine/suffixes,0.5327057343350438,0.49497020425405935,0.5593927954960236,3.817115398733942e-2,8.520554313391177e-3,5.311057346729582e-2
dict/ADFA/combine/reverse,0.42167167077332124,0.3936318145670157,0.4391133553972395,2.876842437597383e-2,6.222404557027043e-4,4.027984525095907e-2
dict/ADFA/combine/reverse_manual,0.42818244029058405,0.38564521324678935,0.4513588024174169,4.073019038619709e-2,8.81151336484505e-3,5.352351565105272e-2
dict/Trie/construction/fromList,0.3610985611448996,0.3432076091867202,0.3855371140616626,2.6892894720762124e-2,8.09048737573903e-3,3.380521696097087e-2
dict/Trie/construction/fromAscList,8.689772867698753e-2,8.294571030776361e-2,9.099480438725246e-2,7.387678601823368e-3,5.929865182586177e-3,8.85140921573713e-3
dict/Trie/query/isEmpty,3.1928607224349223e-9,3.155689891063769e-9,3.2451647966945117e-9,1.3931103360700075e-10,1.1462375313758692e-10,1.9135119002154743e-10
dict/Trie/query/stringCount,1.2633790355856782e-2,1.2490845823804506e-2,1.282196511234741e-2,4.4296012323204637e-4,2.5916187783459445e-4,6.593078190622176e-4
dict/Trie/query/enumerate10,1.0374810615548977e-7,9.94241866652939e-8,1.0951094305452706e-7,1.7897876606408045e-8,1.3124462559475984e-8,2.5403565843547262e-8
dict/Trie/query/member,1.8516155750795417e-4,1.8337340173262288e-4,1.9103034004957483e-4,1.0178121848530189e-5,3.4477665809769184e-6,2.0274551314186563e-5
dict/Trie/query/eqv1,2.1804532726225855e-2,2.1373527551700525e-2,2.2359622192633367e-2,1.1667181074441065e-3,8.533522870977627e-4,1.6724470257524849e-3
dict/Trie/query/eqv3,5.062183911001039e-5,4.9505957722964195e-5,5.346838594484448e-5,5.702409525822617e-6,2.2031276812205776e-6,1.0221055730262044e-5
dict/Trie/combine/union,6.083719426768963e-2,5.687687417540391e-2,6.544713339923723e-2,8.136594272610613e-3,5.865599592335817e-3,1.0223079563673057e-2
dict/Trie/combine/intersection,6.932503769410991e-2,6.419456356257401e-2,7.629659231370248e-2,1.0444107291356138e-2,7.100435551263638e-3,1.4845595796740711e-2
dict/Trie/combine/difference,2.087090285613566e-2,2.0594198256140336e-2,2.1375159862467307e-2,9.813468656252578e-4,2.7397117636559414e-4,1.546638000668083e-3
dict/Trie/combine/append,3.385567397047702e-4,3.3117880032760454e-4,3.546751000277587e-4,3.678171137929923e-5,9.663037889756903e-6,6.851259400116942e-5
dict/Trie/combine/prefixes,3.502835260487877e-2,3.2657641766162614e-2,3.736216067485821e-2,5.504288448589356e-3,4.207734538041061e-3,7.308223319314873e-3
dict/Trie/combine/suffixes,0.4709299723969404,0.4340554736675889,0.5078044711262919,4.812038336948683e-2,2.4787606438781213e-2,6.4856809918585e-2
dict/Trie/combine/reverse,0.33984835921243456,0.30226236701128073,0.35836744796021475,2.7290667931700683e-2,6.565090037062002e-3,3.620291345764784e-2
dict/Set/construction/fromList,0.36219869312481023,0.3470237792498665,0.37355943775037304,1.637601704119832e-2,7.628338498761877e-3,2.2874624594218393e-2
dict/Set/construction/fromAscList,2.4540346442717756e-2,2.2930954166075473e-2,2.5933260438728584e-2,3.0676084360894483e-3,2.5413556474871753e-3,3.7974422544854477e-3
dict/Set/query/isEmpty,2.5366762453738994e-9,2.4748412796433954e-9,2.605938947398115e-9,2.2739674067493943e-10,2.1026929723055185e-10,2.420830421268168e-10
dict/Set/query/stringCount,3.654154296139903e-9,3.5706393975660845e-9,3.921880355137115e-9,4.726817661102891e-10,1.885873162783974e-10,9.308038886385313e-10
dict/Set/query/enumerate10,9.46852958645268e-8,9.295223541474508e-8,9.838533857001038e-8,8.251765828521859e-9,4.866010680359584e-9,1.2202938937340578e-8
dict/Set/query/member,3.895754741527399e-4,3.871014933658501e-4,3.938266800128136e-4,1.1952705732289662e-5,7.253386079634405e-6,2.025656684366217e-5
dict/Set/query/eqv1,1.8720308981711557e-2,1.7757983228238666e-2,1.9799322240696676e-2,2.3603399327617436e-3,1.7388907190122004e-3,3.250180953691191e-3
dict/Set/query/eqv3,5.0854024816446e-9,5.020614537573598e-9,5.139058909871582e-9,1.8817618289567918e-10,1.444839089898929e-10,2.3303432183272947e-10
dict/Set/combine/union,3.151957441067394e-2,3.131105461130375e-2,3.1666068700246554e-2,4.133947421024357e-4,3.3602107499530406e-4,5.003215936417408e-4
dict/Set/combine/intersection,2.8228210702046248e-2,2.8075144310243164e-2,2.838206052784248e-2,3.5612846077448946e-4,2.4802990884186535e-4,4.4022345955845477e-4
dict/Set/combine/difference,2.6830205418861768e-2,2.658740780864828e-2,2.7025501653576454e-2,5.026424180602874e-4,3.611256053633332e-4,7.347796658741083e-4
dict/Set/combine/append,0.24696388009596074,0.23709117987775247,0.26534053020150167,1.7617754034418464e-2,3.304106727028213e-3,2.3459865083978126e-2
dict/Set/combine/prefixes,0.6344215662105247,0.5923785846704657,0.6764645477505837,5.137469229449507e-2,2.013683269281907e-2,6.493197976740325e-2
dict/Set/combine/suffixes,1.2788668747274035,1.1199661839928012,1.3342474652293579,0.10639226316334303,8.723902791947125e-3,0.1278959953367353
dict/Set/combine/reverse,0.3699626974979158,0.3397876119997818,0.38035704074688204,2.0226236745995517e-2,1.6183618979640976e-4,2.416654368115648e-2
URI/ADFA/construction/fromList,0.23132692017724266,0.20441992116745192,0.24846382591030203,2.7339325583133508e-2,1.6053275279076323e-2,3.914568983218669e-2
URI/ADFA/construction/fromAscList,0.19800679291050374,0.17424227360930267,0.23658059935583475,3.989420360533319e-2,2.584815225556455e-2,5.297816312223708e-2
URI/ADFA/query/isEmpty,2.159008228038276e-6,2.082860020497325e-6,2.3799176427948973e-6,3.6645280700401903e-7,2.1019564160199826e-7,7.205231470651205e-7
URI/ADFA/query/stringCount,8.96259884818637e-2,8.429102292063319e-2,9.795672336954239e-2,1.1344119341286646e-2,7.3854456712159995e-3,1.7586232299904726e-2
URI/ADFA/query/enumerate10,2.89135277671729e-6,2.8108292280802754e-6,3.0981519156382923e-6,3.852034235898203e-7,1.3107267757889074e-7,6.881290577683687e-7
URI/ADFA/query/member,6.498007216401957e-5,6.415021901445593e-5,6.705494382559208e-5,4.108627331532145e-6,1.95903815149489e-6,7.59142131676076e-6
URI/ADFA/query/eqv1,1.2057323677078482,1.1579327638343482,1.2388543817057023,4.906458614882204e-2,1.7626755058493364e-2,6.229349048171509e-2
URI/ADFA/query/eqv2,1.1771793628950036,1.1285089116645395,1.2645130348146267,8.457617971606661e-2,4.113567933583875e-3,0.10290102195101772
URI/ADFA/query/eqv3,0.9035165081895684,0.8465289279392891,0.9508173905633157,6.334701460082334e-2,2.5076122998143546e-2,8.028129595913863e-2
URI/ADFA/optimize/minify,2.6733536705193424,2.509439105997444,2.7356505951032277,0.11200241679678523,1.588841179121414e-2,0.14386858471276837
URI/ADFA/optimize/topSort,0.3387209498132506,0.299210157001653,0.3612730343129442,4.040576696355722e-2,2.3425556035686322e-2,5.2081808226741126e-2
URI/ADFA/optimize/topSort',0.41317154456313193,0.38180069050091936,0.4445423986253445,3.820375530985169e-2,1.5705968687255756e-2,4.754205369741483e-2
URI/ADFA/optimize/prune,0.3921672337516308,0.30784520800807513,0.42343678274907387,5.864938679097876e-2,9.62623608686132e-4,7.221393012444775e-2
URI/ADFA/optimize/prune',0.3732952492694797,0.3361867137464287,0.3952438077079326,3.674089125122616e-2,1.5302858890413641e-2,5.068802449106004e-2
URI/ADFA/combine/union,2.0365873372287147,1.8563420209975448,2.106612588895284,0.12358952787244275,9.392738182169305e-3,0.16171639159905968
URI/ADFA/combine/intersection,0.630784004644435,0.5898726169980364,0.6716953922908335,5.0951990255060975e-2,3.192007885343978e-2,6.609822635263274e-2
URI/ADFA/combine/difference,1.1709412586448404,1.0629179690004094,1.214132313726926,7.677825587812362e-2,1.2720859852019178e-2,9.974546911290404e-2
URI/ADFA/combine/symdiff,1.9848008865034596,1.8669680100041055,2.081179019751289,0.14195832290656102,4.2909486503049266e-2,0.1751864542161801
URI/ADFA/combine/append,0.16581597907751203,0.1589566282013298,0.17135381481088946,9.310398517833513e-3,7.026035313520104e-3,1.2131527978794129e-2
URI/ADFA/combine/prefixes,6.482508002617843e-2,5.817831064714809e-2,7.368550390573708e-2,1.3438999104706953e-2,9.237993177683458e-3,1.7525839048667e-2
URI/ADFA/combine/suffixes,5.282580170544558,5.153105794754083,5.599722600003588,0.21573760681338175,2.2289977290495006e-2,0.2767182855726631
URI/ADFA/combine/reverse,1.7259849717265752,1.7026608862433932,1.7433348759586806,2.386709675126963e-2,1.2091635720192614e-2,3.2978151924730234e-2
URI/ADFA/combine/reverse_manual,0.3885003216898137,0.323292939751506,0.4488362055023269,7.462905293211602e-2,3.288618587491024e-2,9.66432510349082e-2
URI/Trie/construction/fromList,0.21616734935240756,0.21046653869416332,0.22460936197708684,1.005277791175809e-2,4.749663448701646e-3,1.4400570720611842e-2
URI/Trie/construction/fromAscList,0.11399844793039329,0.10817477552865334,0.11851384189982508,8.997795060757733e-3,7.76976967283319e-3,1.0649820241195847e-2
URI/Trie/query/isEmpty,3.1995809427524855e-9,3.1645486271315214e-9,3.2345296252729753e-9,1.1176626804018659e-10,1.0036205895209864e-10,1.238520438370106e-10
URI/Trie/query/stringCount,2.4593255065979334e-2,2.4291363250415893e-2,2.5161175954492063e-2,9.500139856460018e-4,4.8678151009743644e-4,1.5499765829831416e-3
URI/Trie/query/enumerate10,1.382590938570964e-6,1.3299286321239705e-6,1.5318349446631008e-6,2.5970667860102785e-7,1.3301349747814176e-7,4.5022555052644716e-7
URI/Trie/query/member,7.125250271067342e-5,6.971805676534928e-5,7.556680801841734e-5,8.317062166244261e-6,1.661115269150795e-6,1.4221121211230712e-5
URI/Trie/query/eqv1,4.049383337604395e-2,4.002686083515994e-2,4.112482897800094e-2,1.1891921794047083e-3,6.346627531697612e-4,1.825174874638243e-3
URI/Trie/query/eqv3,1.2851915501359925e-5,1.1473449099977962e-5,1.75983653374729e-5,7.896518218531962e-6,1.1190336280614855e-6,1.6571001191118003e-5
URI/Trie/combine/union,7.000577883066918e-2,6.834372248047271e-2,7.177660635608463e-2,3.1104626601925e-3,2.4818849163566544e-3,3.954211780437337e-3
URI/Trie/combine/intersection,7.732801789606229e-2,7.373746653182026e-2,8.327493034083293e-2,8.103813718389002e-3,5.9264221963552174e-3,1.1474471371158958e-2
URI/Trie/combine/difference,3.630799920112101e-2,3.5845056796939896e-2,3.713335131361646e-2,1.3090118000697835e-3,8.93579668741727e-4,1.891727981724943e-3
URI/Trie/combine/append,4.417845753345693e-3,4.282705552788633e-3,4.638551882931585e-3,5.358284272732014e-4,3.8678316449673966e-4,7.112800647112651e-4
URI/Trie/combine/prefixes,6.203404651304332e-2,5.845019795415235e-2,6.413286793303274e-2,4.831599266627644e-3,3.2574371737146106e-3,6.544113882551475e-3
URI/Trie/combine/suffixes,1.5212707610398866,1.4512483971238908,1.565089020706182,7.238560676571139e-2,3.93343942505453e-2,0.10119393605502648
URI/Trie/combine/reverse,0.2101459905336621,0.19984661778536164,0.216892569749891,1.1814735819278737e-2,4.065232971597965e-3,1.7386428926330244e-2
URI/Set/construction/fromList,0.13067855826942876,0.12920844644032903,0.1322252002655118,2.239395957176937e-3,1.2964292442512262e-3,3.1654904155940734e-3
URI/Set/construction/fromAscList,1.6041808707578323e-2,1.587643819079357e-2,1.6374744225629848e-2,5.709248501076659e-4,2.065238607351295e-4,9.996272133408247e-4
